,REGIONID,PRODUCTGROUP,YEARWEEK,VOLUME,MA,MA2
105,A01,ST0001,201553,757241,808408.2,808408.2
106,A01,ST0001,201601,651243,742044.8,742044.8
107,A01,ST0001,201602,573198,619615.8,619615.8
108,A01,ST0001,201603,531372,600377.4,600377.4
109,A01,ST0001,201604,585025,646436.0,646436.0
110,A01,ST0001,201605,661049,689882.4,689882.4
111,A01,ST0001,201606,881536,717831.2,717831.2
112,A01,ST0001,201607,790430,727908.6,727908.6
113,A01,ST0001,201608,671116,839337.6,839337.6
114,A01,ST0001,201609,635412,865346.6,865346.6
115,A01,ST0001,201610,1218194,866143.2,866143.2
116,A01,ST0001,201611,1011581,909205.4,909205.4
117,A01,ST0001,201612,794413,930118.4,930118.4
118,A01,ST0001,201613,886427,822173.0,822173.0
119,A01,ST0001,201614,739977,751510.8,751510.8
120,A01,ST0001,201615,678467,731612.2,731612.2
121,A01,ST0001,201616,658270,696861.2,696861.2
122,A01,ST0001,201617,694920,687546.2,687546.2
123,A01,ST0001,201618,712672,691024.6,691024.6
124,A01,ST0001,201619,693402,703768.8,703768.8
125,A01,ST0001,201620,695859,728360.4,728360.4
126,A01,ST0001,201621,721991,739450.8,739450.8
127,A01,ST0001,201622,817878,755311.6,755311.6
128,A01,ST0001,201623,768124,773383.4,773383.4
129,A01,ST0001,201624,772706,803234.6,803234.6
130,A01,ST0001,201625,786218,788871.2,788871.2
131,A01,ST0001,201626,871247,666392.2,794058.0
132,A01,ST0001,201641,746061,536626.0,801175.3333333334
133,A01,ST0002,201401,155729,402331.2,131449.33333333334
134,A01,ST0002,201402,123875,255514.2,132877.5
135,A01,ST0002,201403,114744,142405.2,142405.2
136,A01,ST0002,201404,137162,139114.8,139114.8
137,A01,ST0002,201405,180516,143635.0,143635.0
138,A01,ST0002,201406,139277,152040.6,152040.6
139,A01,ST0002,201407,146476,152972.8,152972.8
140,A01,ST0002,201408,156772,147500.0,147500.0
141,A01,ST0002,201409,141823,148746.4,148746.4
142,A01,ST0002,201410,153152,149801.2,149801.2
143,A01,ST0002,201411,145509,146506.2,146506.2
144,A01,ST0002,201412,151750,145639.2,145639.2
145,A01,ST0002,201413,140297,140808.6,140808.6
146,A01,ST0002,201414,137488,139769.4,139769.4
147,A01,ST0002,201415,128999,134852.0,134852.0
148,A01,ST0002,201416,140313,133686.0,133686.0
149,A01,ST0002,201417,127163,131922.0,131922.0
150,A01,ST0002,201418,134467,131294.8,131294.8
151,A01,ST0002,201419,128668,129814.0,129814.0
152,A01,ST0002,201420,125863,133027.6,133027.6
153,A01,ST0002,201421,132909,131194.2,131194.2
154,A01,ST0002,201422,143231,133378.6,133378.6
155,A01,ST0002,201423,125300,133959.2,133959.2
156,A01,ST0002,201424,139590,134419.8,134419.8
157,A01,ST0002,201425,128766,142683.6,142683.6
158,A01,ST0002,201426,135212,146143.2,146143.2
159,A01,ST0002,201427,184550,149222.2,149222.2
160,A01,ST0002,201428,142598,150268.6,150268.6
161,A01,ST0002,201429,154985,151372.6,151372.6
162,A01,ST0002,201430,133998,141375.4,141375.4
163,A01,ST0002,201431,140732,142876.8,142876.8
